"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","lambdaDurationInMs","lambdaRegion","lambdaMaxMemoryUsed","lambdaMemorySize","message","projectId","projectName"
"2023-11-05 03:59:25",1699156765837,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","OPTIONS",204,"iad1::iad1::pbw6d-1699156765834-b179de9ef48b","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",124.81,"iad1",56,1024,"Legacy server listening...
","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:58:55",1699156735440,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",504,"iad1::j4l2j-1699156735437-026aae8f35e5","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","error","preview","-","-","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",10015.88,"-",116,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:58:55",1699156735381,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","OPTIONS",204,"iad1::iad1::4cw85-1699156735378-283c91b52cb6","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",5.37,"iad1",116,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:57:01",1699156621429,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/user/update","PUT",404,"iad1::iad1::lmvqw-1699156621420-d1e960c9b11a","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",16.31,"iad1",116,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:57:01",1699156621294,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/user/update","OPTIONS",204,"iad1::iad1::lmvqw-1699156621290-22ad8778a50f","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",69.37,"iad1",116,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:56:24",1699156584307,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"iad1::iad1::bvzxw-1699156584302-f769abce673a","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",93.83,"iad1",116,1024,"2023-11-05T03:56:24.326Z	68cc4f1e-38fb-4623-ad5c-210fdbe780c6	INFO	MongoNetworkTimeoutError: connection timed out
    at connectionFailureError (/var/task/node_modules/mongodb/lib/cmap/connect.js:369:20)
    at TLSSocket.<anonymous> (/var/task/node_modules/mongodb/lib/cmap/connect.js:290:22)
    at Object.onceWrapper (node:events:631:28)
    at TLSSocket.emit (node:events:517:28)
    at Socket._onTimeout (node:net:598:8)
    at listOnTimeout (node:internal/timers:569:17)
    at process.processTimers (node:internal/timers:512:7) {
  connectionGeneration: 0,
  [Symbol(errorLabels)]: Set(0) {}
}
","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:55:24",1699156524617,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/favicon.ico","GET",404,"iad1::iad1::g9vjw-1699156524614-96be6e939d3b","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",42.11,"iad1",115,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:55:23",1699156523028,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"iad1::iad1::rhcwv-1699156523025-b9fd0767d10e","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",60.89,"iad1",115,1024,"Legacy server listening...
","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:54:22",1699156462567,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"sfo1::iad1::bfg48-1699156462564-7e373b32553c","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","warning","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",49.97,"iad1",116,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:54:19",1699156459451,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","OPTIONS",204,"sfo1::iad1::dbzcl-1699156459448-722790b7d05e","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",61.36,"iad1",116,1024,"Legacy server listening...
","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:53:03",1699156383000,"notes-app-backend-theta.vercel.app/","GET",404,"4wqh6-1699156383570-2be67000386d","['Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36']","warning","production","main","u","request","/server.js","notes-app-backend-theta.vercel.app","notes-app-backend-giug2615u-maninthehood.vercel.app","dpl_74agtQUrXNVbJAYiW6pJoy894JHB",0,"-",-1,0,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:52:56",1699156376000,"notes-app-backend-theta.vercel.app/api/all","GET",404,"znshn-1699156376061-99728d1209fa","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","production","main","u","request","/server.js","notes-app-backend-theta.vercel.app","notes-app-backend-giug2615u-maninthehood.vercel.app","dpl_74agtQUrXNVbJAYiW6pJoy894JHB",0,"-",-1,0,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:52:39",1699156359000,"notes-app-backend-theta.vercel.app/","GET",404,"g5dpp-1699156359676-ac595d66c97d","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","production","main","u","request","/server.js","notes-app-backend-theta.vercel.app","notes-app-backend-giug2615u-maninthehood.vercel.app","dpl_74agtQUrXNVbJAYiW6pJoy894JHB",0,"-",-1,0,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:52:39",1699156359000,"notes-app-backend-theta.vercel.app/favicon.ico","GET",404,"wvmf2-1699156359920-4d23b900b705","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","production","main","u","request","/server.js","notes-app-backend-theta.vercel.app","notes-app-backend-giug2615u-maninthehood.vercel.app","dpl_74agtQUrXNVbJAYiW6pJoy894JHB",0,"-",-1,0,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
